input,in_size,algorithm,out_size,n_factors,comp_time,mem_usage,init_time,round_time,factor_time
data/proteins.100MB,1,Approx.LZ77Par,73901244,18069108,27709,0,5264,17931,4510
data/proteins.100MB,2,Approx.LZ77Par,73901244,18069108,14963,0,2868,10070,2022
data/proteins.100MB,3,Approx.LZ77Par,73901244,18069108,11393,0,2042,7300,2046
data/proteins.100MB,4,Approx.LZ77Par,73901244,18069108,9140,0,1623,5563,1949
data/proteins.100MB,5,Approx.LZ77Par,73901244,18069108,7909,0,1289,4589,2027
data/proteins.100MB,6,Approx.LZ77Par,73901244,18069108,7002,0,1113,3978,1907
data/proteins.100MB,7,Approx.LZ77Par,73901244,18069108,6468,0,989,3558,1917
data/proteins.100MB,8,Approx.LZ77Par,73901244,18069108,5987,0,923,3217,1842
data/proteins.100MB,9,Approx.LZ77Par,73901244,18069108,6966,0,1058,3813,2091
data/proteins.100MB,10,Approx.LZ77Par,73901244,18069108,6595,0,1036,3694,1861
data/proteins.100MB,11,Approx.LZ77Par,73901244,18069108,6353,0,983,3444,1922
data/proteins.100MB,12,Approx.LZ77Par,73901244,18069108,5996,0,892,3217,1883
data/proteins.100MB,13,Approx.LZ77Par,73901244,18069108,6252,0,888,3109,2252
data/proteins.100MB,14,Approx.LZ77Par,73901244,18069108,5685,0,850,2914,1917
data/proteins.100MB,15,Approx.LZ77Par,73901244,18069108,5522,0,852,2818,1849
data/proteins.100MB,16,Approx.LZ77Par,73901244,18069108,5968,0,833,2983,2147